project_name,project_id
upp/frontends/cover-tool,1660
upp/frontends/developer-portal-ui,1582
upp/frontends/lulu-admin,1591
upp/frontends/lulu-direct-ui,1626
upp/frontends/lulu-junior-shopify-theme,1603
upp/frontends/lulu-website,1650
upp/frontends/lulujr-scan-app,1649
upp/gcf-print-fulfillment-worker,1495
upp/infra/cloudflare-config,1595
upp/infra/gcp-config,1611
upp/infra/gitlab-config,1681
upp/infra/helm-config,1545
upp/infra/website-worker,1664
upp/libs/toolbox_django,1400
upp/libs/toolbox_python,1399
upp/libs/upp-platform-events,1682
upp/libs/upp-printable-dimensions,1509
upp/libs/upp_fastapi_health,1680
upp/services/address_service,1423
upp/services/admin_portal,1418
upp/services/adyen_payment_service,1410
upp/services/api-docs,1577
upp/services/audit_service,1358
upp/services/auth_service,1361
upp/services/beat_service,1407
upp/services/calendar_service,1474
upp/services/cover_tool_service,1666
upp/services/creator_revenue_service,1484
upp/services/dispatcher_service,1618
upp/services/distribution_file_service,1568
upp/services/distro_review,1580
upp/services/ebook_validation_service,1501
upp/services/file_service,9
upp/services/file_validation_service,1515
upp/services/glasstree_cover_service,6
upp/services/graphql_admin,1657
upp/services/invoice_service,1433
upp/services/isbn_service,1413
upp/services/keycloak_migration_service,1425
upp/services/lulujr_pump,1607
upp/services/lulujr_service,1598
upp/services/order-inject-service,1676
upp/services/order-service,1427
upp/services/pod_package_service,1397
upp/services/preview_service,1426
upp/services/print-service,1362
upp/services/print_fulfillment_service,1459
upp/services/print_normalization_service,1421
upp/services/printed_book_service,1412
upp/services/printjob_payment_service,1411
upp/services/project-service,1466
upp/services/review_service,1544
upp/services/search_service,1529
upp/services/shipping_service,1481
upp/services/telemetry-service,1661
upp/services/thumbnail_service,1510
upp/services/upp_indexer,1557
upp/services/upp_pump_2,1561
upp/services/user_metadata_service,1461
upp/services/xpress_project_service,1476
upp/tests/api-tests,1594
upp/tests/e2e-tests,1558
upp/tests/printapi-e2e-tests,1673
upp/tests/qa,14
upp/tools/glasstree_platform,1350
upp/tools/mage,1665
upp/tools/platform,1588
